SNo,Date,Symbol,Segment,EntryAt,Signal,Rate,QTY,TGT,SL,Cycle,ExitAt,Closure,ExitRate,Open,High,Low,Close,PP,PR,PS,NewPR,NewPS,LowWick,UpWick,Body,CandleColor,CandleType,SumBody,SMA21,SumClose,AlgoName,TSLFlag
2976,14-06-2023,CIPLA,NSECM,12.32.03,BUY,979.6,102,994.6,968.8,196,15.19.03,EXIT,979.5,979.5,979.95,979,979.5,977.1919628,987.745636,966.6382896,994.58788,,,,,,,,,,Algo1.1,None
2977,14-06-2023,INDUSINDBK,NSECM,13.00.03,SELL,1324.9,75,1314.2,1332.6,224,15.19.03,EXIT,1323.75,1324.5,1325.1,1324.5,1323.75,1327.405481,1337.799066,1317.011897,,1314.16831,,,,,,,,,Algo1.1,None
2978,14-06-2023,SBICARD,NSECM,09.16.04,SELL,926.5,108,912.3,924,0,15.19.04,EXIT,921.4,933,933,923.5,921.4,927.1,937.11268,917.08732,,912.32455,,,,,,,,,Algo1.1,TRUE
2979,14-06-2023,ICICIGI,NSECM,10.12.04,SELL,1208.4,83,1198.6,1215.4,56,15.19.04,EXIT,1212.9,1207.9,1208.7,1207.75,1212.9,1210.919006,1220.400502,1201.43751,,1198.61196,,,,,,,,,Algo1.1,None
2980,14-06-2023,SUNPHARMA,NSECM,12.59.02,BUY,994.5,101,1009.7,983.5,225,15.19.03,EXIT,986.25,993.95,995,993.95,986.25,992.1327381,1002.847772,981.4177045,1009.71585,,,,,,,,,,Algo1.11,None
2981,15-06-2023,UPL,NSECM,11.48.03,SELL,685.4,147,676.7,692.8,277,11.48.03,TGT,,676.8,677.3,676.65,677.1,685.4,,,,,0.15,0.2,0.3,R,Normal,0.6855,908.6736395,16781036.5,Algo2.11,
2982,15-06-2023,HAVELLS,NSECM,11.10.03,SELL,1362.9,73,1351.9,1359.2,112,12.34.03,SL,,1363,1363.1,1362.55,1359,1365.579941,1376.272432,1354.88745,,1351.86051,,,,,,,,,Algo1.1,TRUE
2983,15-06-2023,SBICARD,NSECM,11.37.02,SELL,917.2,109,903.2,914.7,141,13.17.03,SL,912.25,917.2,917.45,917.1,914.95,919.3428571,929.27176,909.4139543,,903.16684,,,,,,,,,Algo1.11,TRUE
2984,15-06-2023,BAJAJFINSV,NSECM,11.38.02,SELL,1472.6,68,1460.7,1481.2,140,13.40.02,SL,,1472.3,1472.9,1472.3,1481.25,1475.021986,1486.571408,1463.472564,,1460.67194,,,,,,,,,Algo1.1,None
2985,15-06-2023,SUNPHARMA,NSECM,11.10.02,BUY,992.7,101,1007.9,981.8,112,15.19.03,EXIT,988,992.25,993,992,988,990.4230088,1001.119577,979.7264404,1007.88831,,,,,,,,,,Algo1.1,None
2986,15-06-2023,SBICARD,NSECM,13.58.03,SELL,914.7,109,900.7,924.8,280,15.19.03,EXIT,912.25,914.65,915,914.4,912.25,917.1468565,927.0520425,907.2416704,,900.70509,,,,,,,,,Algo1.1,None
2987,16-06-2023,BAJAJFINSV,NSECM,09.45.04,BUY,1484.2,67,1496.2,1488.2,28,09.52.04,SL,,1484.95,1484.95,1484,1488.9,1481.295977,1492.894525,1469.69743,1496.22202,,,,,,,,,,Algo1.1,TRUE
2988,16-06-2023,SBILIFE,NSECM,10.42.04,SELL,1251.6,80,1241.5,1258.9,29,11.34.03,SL,,1251.85,1251.9,1250.85,1258.15,1254.23631,1264.05698,1244.415639,,1241.46204,,,,,,,,,Algo1.11,None
